0.012639 19.365754
0.062436 19.402996
0.069009 19.398051
0.075673 19.387478
0.109845 19.463398
0.114419 19.469187
0.134030 19.450131
0.172764 19.463389
0.190449 19.508937
0.200264 19.549867
0.201783 19.340083
0.217011 19.499801
0.291401 19.560972
0.321712 19.497814
0.345830 19.468294
0.440108 19.598973
0.452938 19.618876
0.467314 19.627947
0.490848 19.599371
0.561508 19.191401
0.612288 18.864648
0.639988 18.846598
0.761436 19.078135
0.778178 19.145524
0.850975 19.185595
0.899574 19.224243
0.921533 19.277604
0.936182 19.272651
0.940993 19.255140
0.972420 19.330424
1.012639 19.365754
1.062436 19.402996
1.069009 19.398051
1.075673 19.387478
1.109845 19.463398
1.114419 19.469187
1.134030 19.450131
1.172764 19.463389
1.190449 19.508937
