,time,fase,mag,flux,flux_error
0,1692.98193184272,0.2579999999998712,16.63415887258716,4181.029172521031,17.544523006806532
1,1693.055933795333,0.37274558868427254,16.70225308269508,3926.8608645804006,25.387024987585402
2,1693.2320510142827,0.6458285716638508,16.770388407659887,3688.004002901807,16.149471408509896
3,1693.306102200803,0.760650501221662,16.7950381052159,3605.2177842194683,27.63164139598704
4,1693.4822265758241,0.03374458022776761,16.513207290921713,4673.732267874967,11.724727181639743
5,1693.5562286027196,0.14849028409280596,16.573943698426007,4419.460610021493,9.427939222620312
6,1848.2293958565938,0.9808596145128092,16.506973482236585,4700.643918650475,14.754673433593952
7,1865.7336106482521,0.1224600697582332,16.55816378439352,4484.161370535867,11.052481244605659
8,1865.909831746483,0.39570412536960475,16.710400062558982,3897.5053660917324,18.336302825844605
9,2042.5031495572412,0.21691416730175206,16.60147675938932,4308.797093027817,19.40754577116175
10,2042.6792923136368,0.49003674801042507,16.73824785330168,3798.8102880415922,15.27247576246128
11,2056.4338301550665,0.8174813081940329,16.74192273849164,3785.974211702317,15.885401761842932
12,2056.507831982812,0.9322267032623586,16.54978529023238,4518.898958606852,7.074800552059623
13,2150.3149669631675,0.38723898415707936,16.70189695336601,3928.1491146158946,8.411548483311988
14,2150.5651547294683,0.7751739171173995,16.793144600803746,3611.510704964059,13.739887737627736
15,2150.8153422675023,0.1631084961329634,16.570202653123857,4434.714701225182,20.74253824783848
16,2151.0655298868023,0.551043201157654,16.75436454533578,3742.8371260186436,11.388038093395977
17,2151.315717866785,0.9389784654475761,16.550798853038096,4514.682418078521,15.98267864565802
18,2192.47110628216,0.7535009816396041,16.64460938702353,4140.978656046194,1115.8275540275945
19,2229.197423876627,0.7004163506461509,16.792006900814997,3615.2970474984254,14.022797611739225
20,2229.2714365464035,0.8151785570980792,16.757740969518213,3731.2157246424617,16.6415780019013
21,2237.9526685451356,0.2760811553205258,16.63187432457262,4189.835932448538,7.639455621277634
22,2238.0266523707637,0.3907986367528338,16.70057924432442,3932.919426122417,12.720683259498943
23,2238.2028516513133,0.6640088624099008,16.76903821096382,3692.5931731782443,19.614619983498837
24,2332.023962882063,0.14069236983982591,16.56505731016953,4455.780851012316,15.32196061591685
25,2332.0979652004803,0.2554385257311651,16.6304861688794,4195.19622553416,10.897886979976045
26,2332.274109775093,0.5285639257222101,16.753395899958527,3746.1778082134865,13.642094149700704
27,2332.3481104457805,0.6433075266847936,16.773616455261838,3677.0553284009197,15.042183292872371
28,2345.1022866413555,0.41961617899085013,16.715963605511398,3877.5848028497294,9.521045295330595
29,2345.278400474849,0.692693912566483,16.79718314509281,3598.1021499561093,13.0728339430994
30,2382.251556498931,0.022350816303287502,16.51176973337094,4679.924572227757,16.461953579257102
31,2519.355612640209,0.6124930689825305,16.76075986111717,3720.855482178192,7.485219356334603
32,2519.5318057335376,0.885693700888396,16.61950764502301,4237.83153937339,10.008741104542937
33,2535.2873513066634,0.31585112240145463,16.661829820547936,4075.8183346048572,7.753774861649081
34,2535.361364387751,0.43061396662233165,16.720545593629218,3861.2552283699592,20.20362117388118
35,2567.7704434945194,0.6833266251496752,16.783695878836376,3643.0773750461617,13.333643131876398
36,2567.844458008798,0.7980916916405931,16.7824061864452,3647.407377843814,15.051943937457379
