# id  period
6322601191571653504 0.77889433
2973463347160718976 0.58147432
2981136563934324224 0.58724744
4985455998336183168 0.51091461
6380659528686603008 0.55006783
3699778119760745472 0.58707451
6483680332235888896 0.47959956
4229920123678447232 0.57802819
4854226777298797952 0.53163483
5768557209320424320 0.54258575
3765574712337027456 0.53772380
1191510003353849472 0.52206597
3915998558830693888 0.47798038
3499611306368945536 0.47852504
4842417335222335104 0.62246945
2973954279102006656 0.65617816
1770039418063209600 0.60045560
6910611591970329216 0.40636332
5806921716937210496 0.58254694
5911972631268753792 0.63021710
2497458508359533184 0.54809917
2689556491246048896 0.45930499
4344296958198114688 0.43695874
3677686044939929728 0.52577401
4410058473777585024 0.48756752
5021251939406481280 0.57985299
6005656897473385600 0.48416985
3797319369672686592 0.62633757
5737579706158770560 0.48900576
6484572104886495872 0.60903407
6539269990871163392 0.65871812
3839232130153219456 0.54779080
5032510629236996608 0.62471103
4473628559603349888 0.38068547
3698725337376560512 0.47559702
4784552718312266624 0.44037471
1786827307055763968 0.54724165
5461994302138361728 0.57434582
4860671839583430912 0.60534876
4870497075488741888 0.70221942
1760981190300823808 0.47261686
3626569264033312896 0.55347823
6309626679485732608 0.77059043
6796320308904070016 0.54443653
4709830423483623808 0.64223157
2373827054405627904 0.57369481
5014374081858244608 0.59271915
6526559499016401408 0.59640936
6735230515154698880 0.36756234
2608819623000543744 0.60886544
5769986338215537280 0.57116320
5026371849661393664 0.53077608
2381771781829913984 0.63373724
5017575447402248448 0.53360375
3462535705561799552 0.67457406
2976126948438805760 0.56991157
5151789464548893184 0.62343022
3546458301374134528 0.41201140
6589892159047076096 0.95980793
1793460115244988800 0.39038253
2558296724402139392 0.55302731
5773390391856998656 0.58725657
5384505910934827392 0.60451518
2336550174250087936 0.49335200
6570585628216929408 0.57005614
3464231977125588736 0.66415886
