# id  Nep  period  totamp  A1  A2  A3  A1_e  A2_e  A3_e  phi1  phi2  phi3  phi1_e  phi2_e  phi3_e  phi21  phi21_e  phi31  phi31_e  meanmag  meanmag_e  cost  aper  phcov  phcov2  snr  ZPErr  Npt  order  minmax
2689556491246048896   30 0.459304 1.315 0.414 0.168 0.092 0.004 0.004 0.006 0.042 2.467 -1.475 0.012 0.022 0.024 8.6653 0.0282 4.681 0.050 11.132 0.003 0.0046 1 0.887 0.846 723.6 0.0000   30  6 1.135
4344296958198114688   31 0.436977 0.967 0.379 0.079 0.172 0.030 0.036 0.044 -0.051 2.755 -0.262 0.096 0.547 0.155 9.1411 0.6241 6.176 0.334 11.784 0.024 0.1085 1 0.865 0.871 57.2 0.0000   31  4 1.034
3677686044939929728   32 0.525768 1.047 0.361 0.163 0.133 0.005 0.005 0.004 -0.026 2.189 -1.650 0.005 0.017 0.022 8.5240 0.0177 4.710 0.025 11.297 0.003 0.0033 1 0.822 0.871 725.6 0.0000   32  4 1.029
4410058473777585024   37 0.487545 0.921 0.357 0.153 0.084 0.018 0.017 0.018 0.048 2.463 -0.712 0.052 0.120 0.256 8.6509 0.1573 5.428 0.225 11.382 0.011 0.0586 1 0.900 0.905 102.6 0.0000   37  5 1.050
5021251939406481280   47 0.579880 0.804 0.330 0.125 0.075 0.015 0.014 0.013 0.262 2.999 -0.082 0.044 0.137 0.200 8.7572 0.1578 5.414 0.267 15.874 0.009 0.1980 1 0.898 0.910 101.7 0.0000   47  4 0.847
6005656897473385600   41 0.484171 0.368 0.160 0.042 0.049 0.001 0.001 0.001 -0.167 3.342 -0.612 0.010 0.020 0.036 9.9602 0.0340 6.173 0.040 8.897 0.001 0.0008 1 0.849 0.874 968.5 0.0000   41  5 0.359
3797319369672686592   31 0.626342 0.861 0.307 0.155 0.088 0.002 0.003 0.003 0.064 2.590 -0.768 0.011 0.021 0.036 8.7452 0.0168 5.323 0.033 11.024 0.002 0.0010 1 0.807 0.857 910.9 0.0000   31  4 0.766
5737579706158770560   63 0.489002 1.114 0.389 0.171 0.133 0.004 0.004 0.003 -0.026 2.242 -1.553 0.009 0.023 0.031 8.5767 0.0281 4.807 0.045 12.131 0.003 0.0967 1 0.935 0.924 552.8 0.0000   63  6 1.081
6484572104886495872   52 0.609042 0.878 0.297 0.144 0.106 0.002 0.002 0.002 -0.001 2.430 -1.096 0.005 0.012 0.017 8.7150 0.0146 5.189 0.023 16.901 0.001 0.0025 1 0.934 0.926 954.3 0.0000   52  6 0.872
6539269990871163392   67 0.658728 0.792 0.257 0.109 0.100 0.013 0.011 0.011 0.006 2.674 -0.644 0.040 0.111 0.116 8.9443 0.1539 5.620 0.135 16.158 0.009 0.0721 1 0.931 0.917 124.6 0.0000   67  6 0.890
3839232130153219456   42 0.547791 0.915 0.310 0.158 0.107 0.002 0.002 0.002 0.001 2.398 -1.159 0.009 0.013 0.021 8.6789 0.0237 5.121 0.036 16.864 0.002 0.0028 1 0.920 0.901 760.9 0.0000   42  6 0.894
