source_id,epoch_g,pf,pf_error,phi31_g,phi31_g_error,phi21_g,phi21_g_error,A1,A1_error,A2,A2_error,A3,A3_error,FeH
2519706782549605248,1702.8512135597796,0.5748299464633441,4.6316086E-6,2.1896272,0.2599518,4.045571,0.1477833,0.25971568,0.014592153,0.13164276,0.016488599,0.10294858,0.017096916,-1.7
103232188954918144,1702.911975525258,0.5869656567564744,2.6133287E-6,1.8831818,0.2904341,3.9966254,0.15924215,0.32256293,0.017330013,0.13620964,0.020844169,0.08795051,0.019880882,-1.935
101972316132737152,1703.068047179726,0.596834554605633,2.7111904E-5,2.1805418,0.42161033,4.1419177,0.15543617,0.24704954,0.03984955,0.11509384,0.033242233,0.062372778,0.030540569,-1.591
18103291448100608,1705.3694772079446,0.5816848245268182,9.883293E-6,2.0347617,0.2846504,4.191614,0.14874886,0.2262183,0.011580484,0.09851943,0.016799014,0.06285218,0.024963684,-1.705
3588290557349760,1707.8140725422288,0.5197866938616191,7.737862E-6,1.7325377,0.67137533,4.0318093,0.2733725,0.33859494,0.028033858,0.12672406,0.0298487,0.07922515,0.02405143,-2.205
894994016810642176,1715.3388101383844,0.5983033948605087,1.6907595E-6,2.050739,0.08987361,4.018891,0.03344949,0.22952169,0.00647714,0.1113661,0.0065668537,0.0685843,0.005373777,-1.598
882365507289824768,1716.216602885048,0.5725738400173939,5.631619E-6,2.4202821,0.27469736,3.9153965,0.120232604,0.28637105,0.018902864,0.15774846,0.01964777,0.11028482,0.022622325,-1.837
935713463576528640,1711.4481722198618,0.5109589478512692,3.6235906E-5,1.6378263,0.8356195,4.0246,0.43704686,0.3484779,0.06907178,0.17649142,0.08129178,0.13150707,0.07085629,-1.929
576582596231278592,1758.8514580302417,0.5753649507582422,9.937534E-6,2.131842,0.2900218,4.2460437,0.22350894,0.2724309,0.023512173,0.080204666,0.02220133,0.09156626,0.02681131,-1.499
1012141375816850944,1713.6591121741942,0.5959943074687828,4.5413244E-6,1.9994301,0.17917371,4.0106277,0.08806853,0.2633198,0.009656593,0.13166073,0.0132652875,0.10061903,0.011153914,-1.758
3854250569930462592,1758.678109029475,0.5807968454195306,7.402646E-6,2.1998389,0.18563887,4.032207,0.07769922,0.21877821,0.0044899248,0.10147315,0.005609292,0.059202865,0.0064262366,-1.397
647673032353336448,1753.7582952016892,0.6414718999845099,4.5258425E-6,2.6534033,0.08275828,4.354424,0.056710873,0.1261575,0.0014542381,0.04046901,0.001999016,0.017000409,0.0019336968,-1.486
799823623206083328,1720.532872436652,0.6240288736705497,3.6818808E-6,1.9844418,0.08558368,3.945009,0.04234186,0.35425624,0.0069022146,0.17154124,0.0071232533,0.12290945,0.006959365,-1.92
725990107433416704,1756.2712770905307,0.4595524289350496,5.435329E-6,2.306231,1.1698432,4.1704407,0.3905834,0.43115306,0.050730225,0.20459408,0.08952007,0.19410487,0.050735496,-2.013
3883259393227451392,1759.0377035530842,0.6307730633906437,9.599208E-6,2.0881681,0.4048383,4.081559,0.16505957,0.204544,0.032047253,0.08867601,0.021284519,0.04455714,0.015845302,-1.414
728920786957623296,1755.315320623078,0.5169952976445195,5.6342915E-6,1.8965307,0.35588253,3.9064202,0.21111946,0.32531893,0.043101005,0.14655559,0.040004034,0.12396167,0.02761222,-1.884
754673479583994624,1752.2857192412575,0.6051771289893368,2.3107657E-5,2.0757735,0.34153515,4.0675755,0.24941605,0.31450358,0.024144355,0.13637577,0.018116876,0.117712714,0.042360187,-1.871
721188608874424192,1757.0317027020533,0.6390369188193512,3.6846086E-6,2.3893316,0.14903714,4.2395186,0.13904943,0.14572702,0.0036861887,0.051608812,0.003633338,0.02326642,0.0037844162,-1.68
3989867353461506432,1756.6949179359624,0.6318825056624585,9.088073E-6,1.9974043,0.28459963,3.9702122,0.15291302,0.30858478,0.010567599,0.14583018,0.02469484,0.109522045,0.022117378,-1.85
4020530636816415616,1756.3620780530614,0.5101042210216604,2.3827008E-6,1.9487587,0.20062919,3.6206317,0.2693736,0.39503706,0.019244496,0.17839383,0.024893222,0.13513209,0.014994951,-1.529
4002439414227271936,1670.4152513307156,0.7606409032766054,6.5543895E-6,1.8612976,0.16221611,3.9255908,0.12551345,0.2648386,0.011427572,0.096159555,0.012527789,0.08434183,0.011648467,-2.75
