# id  period
2536241964258088320 0.58899180
2638915012894951936 0.46939781
2536827282401261568 0.52701901
2643864395767909376 0.58752311
2551464805823863680 0.56329810
2536319582906997248 0.63545115
2536781236056128640 0.51594205
2506900736261663360 0.51543650
2530993372488386176 0.59217555
2689680353806897152 0.53647585
2465038759474306176 0.51968590
2675001912231333632 0.67488459
2642674380589172736 0.57020416
2533473698921655168 0.63679322
2547549857234790656 0.57098273
2548840099770589696 0.55506268
2547009241111707264 0.68039908
2449745274287259392 0.62577956
2643929228298954752 0.51598792
2482520959996380288 0.55825884
2544136114148222848 0.60983379
2543884600864118912 0.60742638
2738420295517290368 0.54800877
2645480948442878464 0.49828689
2682199963886585344 0.50031000
2681969375682189824 0.56620828
2500224089340291584 0.50248781
2466017049945104128 0.52111882
2677368611010028544 0.63144273
2641727323120509696 0.65509358
2546229378129314944 0.56257941
2443892054200498176 0.51445654
2485377555629125376 0.55208438
2501495880696267264 0.63009183
2449651472201635200 0.64724767
5173509045445376000 0.46477818
2738382847698520960 0.64175861
2642125891790355584 0.61328620
2533266715857590784 0.53102187
2543747883465202432 0.55583785
2449864468219733376 0.64198017
2500678050204207872 0.65899204
2535351527342946048 0.56299088
2630031989734591744 0.46522021
2507300065140347648 0.51344541
2686337774034805760 0.63026420
2686022416060561408 0.56155602
2464543734428251136 0.58972562
2688868643643546880 0.59298839
2690549041008132352 0.61058859
2689676574235662976 0.57939951
2507056763833489792 0.63927108
2693327060214691968 0.57780013
2501360507622650880 0.48586955
2653940316029389184 0.55479666
2680049770114467200 0.59136462
2679910510094789632 0.56423677
2488792157709079168 0.62127300
2688768553725670144 0.56955491
2465539617085028608 0.56132169
2558213883072944512 0.61431019
5187948480681001984 0.51943264
2506238594038434176 0.79785194
2466153591250385792 0.48909971
2688066751774885504 0.54544533
2484276536468433280 0.61048605
2680656180841875840 0.49581218
2512732614654191616 0.49629312
2511088745986990720 0.49978736
2480784139645621120 0.45107184
2494868402561527808 0.72300304
2485579801344728448 0.56628007
2508075220838550016 0.55768034
2507183658642457216 0.55212612
2486254965908430976 0.77454128
2501273607549180928 0.49308215
2499694743211755776 0.64910621
2501829926073047552 0.53363919
2674986171176454784 0.62217128
2509715971360114176 0.73141519
2535946638011222144 0.55055892
2686108525860425216 0.60109037
2530880157150295808 0.60345495
2641075312725270528 0.50559503
2444761737834351744 0.50546460
5176609182904114560 0.54367931
2545482294337969408 0.63187201
2464743815480510592 0.45826973
2533860456431996288 0.58161085
2687779199419072768 0.49395771
2509706178834683264 0.60605772
2688923584865382912 0.51563383
1454796927433681152 0.50127377
1528538560969496064 0.69287453
2128080811125876352 0.57138216
1463915417882079744 0.63209183
4014556788279733888 0.46188339
4013811216316981632 0.55630106
4006720156591860992 0.46914947
 923270707098470272 0.62063754
 919138811120012032 0.48605809
1520324178317374336 0.44167037
1465883234457827968 0.51345893
3938269613528220672 0.54669104
 899483322787236864 0.55303402
 923442780667576960 0.49642581
3632110703852863616 0.65156071
3275195623020439424 0.36991707
3976785295394882688 0.62672785
 610579392683347968 0.54316545
 315028326379733760 0.56313346
 780156482623646080 0.63565979
1519628565414140160 0.66813919
1461194435841276288 0.64854157
1500424804562041984 0.54003437
1290953133502546176 0.45693733
1198085254685725824 0.59711399
1481133009762718720 0.51356099
4543335569579657216 0.59163159
1920740440272816256 0.42160321
4487364105534330112 0.60337191
1818159235220031744 0.40540733
 447017447391379456 0.60708242
4026678869616430976 0.61029582
3944929149299278976 0.46890759
1454798782864780288 0.51480867
1454783149183752576 0.52369440
1454873858890469760 0.49128031
1454782015312791040 0.60229544
2105004192359662336 0.47370017
2105468529864072704 0.58778856
2133132895253493760 0.43638850
3683700682781785984 0.73798585
3601610560536864768 0.57091124
 598452535342949760 0.52619270
 598640581895695744 0.49033644
3697707563270860160 0.61637846
3698339202636680832 0.62339812
3694689339428967552 0.51588149
3602370181336762880 0.56265081
3698263916154471040 0.59878631
3697444371970657792 0.47574161
3703236182612660096 0.51598607
3688533345623140608 0.64384657
3675523752244615808 0.70874549
3682542862677629056 0.53634686
3681313986635168512 0.59605310
3676707135993695872 0.54936829
 685828387940782592 0.50271577
3675420776108780160 0.56555035
 636378501020504704 0.60623282
 665456808300627584 0.56381280
 665691416594099200 0.65553605
3701307123821801856 0.65532363
3696002809147132288 0.57944964
3676649854014291072 0.47239567
3958203724980283264 0.52317369
1260480306176910976 0.60531308
1247834754226378752 0.62032456
1312081074064627072 0.51744422
3921283464549517824 0.61748382
4574358633754809984 0.46845741
4574245727654504704 0.51386433
3949281875315907200 0.72258462
3907328016292526336 0.65272931
4466932018392973184 0.67879371
4467451022240787584 0.53615197
4016842157557617408 0.54342678
1347991811022079104 0.57087085
1200715110403331328 0.58156143
3745282061310827264 0.56375712
3746700942411152640 0.59029709
4029123187043903232 0.62381052
3936953979146081792 0.66962534
1573751750413676928 0.62425275
1563232344714269568 0.50537577
1564124735838991744 0.57692797
1561290607179399040 0.64458957
3688689922950943232 0.64627449
3638228317830303616 0.57583411
4408023483915705088 0.61091276
4410452889214567808 0.51969220
3960226688935833728 0.75787514
3702715465073616640 0.66732089
1317162020375745792 0.60566251
3958056665299734144 0.47741581
4002458140284659072 0.48782560
3920714948318181504 0.60581268
 657680512312286848 0.60044563
 709223521478479616 0.53041952
 911929107217841024 0.57893416
 605046444013475584 0.56430971
 590357587141762176 0.53293273
3830552761456831232 0.48159588
 855031751302381056 0.52425526
 857515960386353536 0.51905579
 787857844320775040 0.55906214
3922374592400561664 0.55214686
3699777123328421888 0.58420809
3699931089316617728 0.72914041
1571925942637170432 0.61905983
3695743083885519744 0.58348158
1465348665648362240 0.53647188
1464629481965020672 0.53230781
1467130218083616512 0.55189124
1460036134700711040 0.62135967
1442177385806227712 0.55432034
1500489435229902848 0.54507112
1250668539288365440 0.47275219
1502583180246968192 0.54837065
1453588392356674816 0.54097359
1260564521895678208 0.53523504
1261562981533064576 0.52927588
1264746445652712320 0.57749981
1261627715280176256 0.47450896
1155456089363098240 0.58349685
1594510426867418880 0.55776564
4416501989871671424 0.47351374
1196737700107586176 0.65297223
1200009193875719296 0.47607867
1315066832249489664 0.47573243
4452752372844946560 0.47703906
1329631341227811072 0.57300964
1381110853597060224 0.48891086
1298962800833853312 0.71833557
1330968484805659392 0.56109728
1356816216468456576 0.53245574
1327485747365011328 0.54958551
1536680719450671616 0.55967222
4002438860175869952 0.55211585
4002290292962901632 0.46110892
3953442289875737472 0.67174127
3952850134144617216 0.49689737
3932665162242806912 0.47981768
1339037972441141120 0.51118361
3938423098479656960 0.48477196
3939789172957825664 0.63048728
3950137638959550592 0.68912443
3950243462657374208 0.55138408
1467140079328486144 0.59578717
1245126279130059136 0.58713967
1205715968460498304 0.53607303
1465094712821981824 0.54607510
 783130665875893376 0.49586842
1016707892421518848 0.50705363
3695996796192922752 0.58585620
3840629540712053888 0.61831600
4410159972446863232 0.59866036
3694541729993211392 0.55625223
3696000403965443712 0.61716098
 782648319570158080 0.51888532
 762879723272830464 0.62787991
 843563432708710272 0.48621688
3793864940361095680 0.70216444
4003889532625084288 0.46215045
3901756893953872000 0.48579126
4010205608452016768 0.53447143
4016759762905092480 0.51254334
1465224730072123392 0.60379073
4407657380899819136 0.64681433
4359473100581531904 0.54427530
1298120815444556032 0.55024956
1299533138131591936 0.49600544
1327120640785327232 0.53458754
1356628749735716736 0.64587108
1358585154583031296 0.62106252
3975207534864748544 0.54377235
1574545357290594432 0.64481528
4431597116290673792 0.64711136
3919273797811740672 0.58929124
1218720064281270016 0.52674274
1218791876134358016 0.45539274
 696312196952238976 0.58455286
 697247743908599680 0.55323102
 633961568304132352 0.51939731
1164756892582723200 0.50196179
1502320878004162688 0.49667134
3670736130724150400 0.62202031
1493199741856740096 0.51952876
1307577027760741888 0.56238145
1308069913910408704 0.64985552
1377824928737181568 0.63785007
 646239784586843776 0.65635671
 812956671123226496 0.54333117
3957925514178507136 0.48343603
1331030023097149952 0.56311233
4032517585597417088 0.56238572
4032078536860546304 0.51755695
3710721249754231552 0.62173607
1264438548037250304 0.77122388
4452397745985690112 0.53184917
3715995641391944960 0.49006572
3717150266039895168 0.56655748
3717235542614816768 0.46709881
1173845833654557696 0.54363359
 623022630198845056 0.52437997
