# id  period
6380659528686603008 0.55006783
5412243359495900928 0.57351318
4055098870077726976 0.42728278
6735230515154698880 0.36756234
2973954279102006656 0.65617816
5032510629236996608 0.62471103
5017575447402248448 0.53360375
4870497075488741888 0.70221942
5026371849661393664 0.53077608
6539269990871163392 0.65871812
4854226777298797952 0.53163483
5021251939406481280 0.57985299
4842417335222335104 0.62246945
5014374081858244608 0.59271915
6529664829085975808 0.59488619
2497458508359533184 0.54809917
1786827307055763968 0.54724165
2608819623000543744 0.60886544
1770039418063209600 0.60045560
6309626679485732608 0.77059043
6625215584995450624 0.54673573
2438710609949867776 0.48187105
2973463347160718976 0.58147432
6565527904791301504 0.55246459
6526559499016401408 0.59640936
4709830423483623808 0.64223157
3699778119760745472 0.58707451
3626569264033312896 0.55347823
6910611591970329216 0.40636332
6492356127518044800 0.63489789
3677686044939929728 0.52577401
5737579706158770560 0.48900576
4454183799545435008 0.74658688
4410058473777585024 0.48756752
4860671839583430912 0.60534876
4784552718312266624 0.44037471
2976126948438805760 0.56991157
3486473757325180032 0.65030142
5769986338215537280 0.57116320
5806921716937210496 0.58254694
6483680332235888896 0.47959956
6787617919184986496 0.58692140
4229920123678447232 0.57802819
2558296724402139392 0.55302731
6005656897473385600 0.48416985
5768557209320424320 0.54258575
2336550174250087936 0.49335200
3499611306368945536 0.47852504
4352084489819078784 0.39703164
3797319369672686592 0.62633757
5773390391856998656 0.58725657
4224859720193721856 0.36178801
5918501428232052992 0.58857683
1760981190300823808 0.47261686
1793460115244988800 0.39038253
1191510003353849472 0.52206597
3546458301374134528 0.41201140
3479598373678136832 0.56797953
3465394126556301056 0.71334299
3464204523694392192 0.41645472
5398731873409720448 0.69102637
3464231977125588736 0.66415886
3462535705561799552 0.67457406
3460867849501581824 0.58714732
5384505910934827392 0.60451518
6570585628216929408 0.57005614
5911972631268753792 0.63021710
6484572104886495872 0.60903407
6322601191571653504 0.77889433
2373827054405627904 0.57369481
3698725337376560512 0.47559702
4467433017738606080 0.45535779
2981136563934324224 0.58724744
4985455998336183168 0.51091461
5058670209887423616 0.49645378
3604450388616968576 0.61510365
5461994302138361728 0.57434582
6796320308904070016 0.54443653
2689556491246048896 0.45930499
4344296958198114688 0.43695874
 630421935431871232 0.45240543
3915998558830693888 0.47798038
3652665558338018048 0.41080229
5151789464548893184 0.62343022
3765574712337027456 0.53772380
2381771781829913984 0.63373724
4417888542753226112 0.71411117
5947570591534602240 0.45188327
5510293236607430656 0.39074609
6378877082899249664 0.39402884
4473628559603349888 0.38068547
3839232130153219456 0.54779080
6897755139944897024 0.79746448
6836508627130440064 0.80006768
6589892159047076096 0.95980793
