# id  Nep  period  totamp  A1  A2  A3  A1_e  A2_e  A3_e  phi1  phi2  phi3  phi1_e  phi2_e  phi3_e  phi21  phi21_e  phi31  phi31_e  meanmag  meanmag_e  cost  aper  phcov  phcov2  snr  ZPErr  Npt  order  minmax
2543884600864118912   48 0.607426 0.421 0.166 0.069 0.039 0.002 0.002 0.002 0.001 2.712 -0.528 0.010 0.020 0.043 8.9927 0.0294 5.752 0.057 16.121 0.001 0.0007 1 0.913 0.927 525.2 0.0000   48  5 0.433
2738420295517290368   52 0.548008 0.868 0.277 0.158 0.101 0.003 0.003 0.003 -0.017 2.341 -1.100 0.009 0.018 0.033 8.6578 0.0289 5.234 0.044 17.621 0.002 0.0085 1 0.923 0.931 550.1 0.0000   52  5 0.871
2645480948442878464   32 0.498287 1.131 0.400 0.173 0.137 0.005 0.007 0.006 0.251 2.752 -0.835 0.013 0.037 0.054 8.5326 0.0427 4.694 0.069 16.925 0.004 0.2107 1 0.871 0.887 467.4 0.0000   32  6 1.135
2682199963886585344   23 0.500283 1.200 0.396 0.163 0.133 0.034 0.033 0.031 0.073 2.600 -1.168 0.105 0.209 0.201 8.7371 0.2810 4.896 0.412 16.701 0.020 0.1127 1 0.852 0.807 81.8 0.0000   23  4 1.047
2681969375682189824   25 0.566210 0.761 0.264 0.129 0.087 0.004 0.004 0.004 0.001 2.435 -1.049 0.015 0.030 0.048 8.7162 0.0424 5.231 0.069 16.338 0.003 0.0029 1 0.902 0.815 354.5 0.0000   25  4 0.766
2500224089340291584   26 0.502493 1.099 0.386 0.175 0.123 0.016 0.018 0.017 0.213 2.786 -0.771 0.042 0.075 0.174 8.6425 0.1357 4.872 0.208 17.573 0.012 0.1402 1 0.877 0.877 151.1 0.0000   26  5 1.069
2466017049945104128   46 0.521117 3.854 0.126 0.131 0.317 0.001 0.001 0.001 0.174 0.640 -3.217 0.002 0.005 0.006 6.5749 0.0067 8.827 0.009 16.362 0.001 0.0164 1 0.927 0.912 225.9 0.0000   46  6 1.069
2677368611010028544   20 0.631450 0.644 0.287 0.097 0.021 0.061 0.066 0.053 0.188 2.786 -0.845 0.459 0.742 1.230 8.6944 0.2783 4.876 0.774 15.774 0.088 0.0601 1 0.659 0.735 319.9 0.0000   20  5 0.656
2641727323120509696   33 0.655093 0.310 0.129 0.048 0.019 0.003 0.002 0.002 0.000 2.654 -0.711 0.013 0.043 0.121 8.9368 0.0597 5.572 0.142 17.543 0.002 0.0003 1 0.849 0.871 427.9 0.0000   33  5 0.299
2546229378129314944   29 0.562579 0.796 0.265 0.143 0.088 0.003 0.003 0.004 0.351 3.115 0.017 0.011 0.023 0.034 8.6971 0.0280 5.249 0.043 16.572 0.002 0.1575 1 0.877 0.843 556.1 0.0000   29  5 0.788
