,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0821544885635376,0.006333637230593323,0.0029230594635009767,0.0012243546311426494,0.8,0.05,5,100,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11744837493773072,-0.1090802074883716,-0.1075300623707973,-0.1235071637140265,-0.11075486177488826,-0.15573765571824869,-0.14964854380425024,-0.1207334118782568,-0.11778227800704241,-0.1258674589998013,-0.12380900186934138,0.01558858323911365,45
1,0.07484731674194336,0.008526270726590127,0.002059340476989746,0.0010731513391328805,0.8,0.05,5,100,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11802285995783607,-0.10913196807798846,-0.1093667033553197,-0.1238789800307944,-0.11226554915841241,-0.15584518090085278,-0.1543595636959358,-0.12111753488729926,-0.11759641889021213,-0.12668167986100923,-0.12482664388156603,0.01610627531670254,85
2,0.1376645088195801,0.007283523659804583,0.0032257318496704103,0.0014070985554283202,0.8,0.05,5,200,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11676953838189282,-0.10767422707624433,-0.10738918423437485,-0.12223651827443496,-0.10878788491784268,-0.15434486178300402,-0.1494433643163724,-0.1178813020610378,-0.11694229804550213,-0.1262318371452576,-0.12277010162359636,0.0157306312423561,11
3,0.13919332027435302,0.013041779475584936,0.002870988845825195,0.0010578747656922254,0.8,0.05,5,200,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11788727941322376,-0.1089409572970002,-0.11024798658609682,-0.12295850683194158,-0.11119474640422743,-0.15464770309409692,-0.15326407194763816,-0.120223901448774,-0.11659050296269236,-0.1252283822347079,-0.1241184038220399,0.015762338428954043,55
4,0.19227449893951415,0.022265886680409606,0.0030180692672729494,0.001551259579155172,0.8,0.05,7,100,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11741186790434453,-0.10639791321397912,-0.1042543308054128,-0.12214664232257984,-0.10810020973927052,-0.15628464313669607,-0.1518531813983607,-0.11975050774470411,-0.11702976771033181,-0.12949898364948276,-0.12327280476251623,0.01705595957959203,24
5,0.20310678482055664,0.013981435769167124,0.003920507431030273,0.0019407896721892646,0.8,0.05,7,100,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11662883084103025,-0.10863343116687234,-0.10370312667764625,-0.12375507486373409,-0.10828911325557511,-0.15524055645165521,-0.15324444349802332,-0.1200523118673679,-0.115940905001107,-0.1283391742591978,-0.12338269678822093,0.016959013789623476,31
6,0.3957239627838135,0.03162153573210615,0.00925295352935791,0.005454088785275008,0.8,0.05,7,200,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11848206903771848,-0.1069956147722669,-0.10499491757805653,-0.12143830806771144,-0.10768940952671577,-0.15383413650806152,-0.15278456970448362,-0.11854246453040951,-0.1170390439976123,-0.1313702406338653,-0.12331707743569013,0.016732934096927665,26
7,0.3490999698638916,0.026267617972063794,0.007149744033813477,0.003716571510698076,0.8,0.05,7,200,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11687248720377987,-0.11065680653703931,-0.10428175774585786,-0.12451692616197393,-0.10787027571523035,-0.15346051108706996,-0.15476938051332437,-0.11921868176267755,-0.11767590432902371,-0.13105786270901915,-0.12403805937649962,0.016749379594146865,54
8,0.30868916511535643,0.018177408599577043,0.0037773847579956055,0.001829974028987246,0.8,0.05,8,100,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11824893049380247,-0.10754794033406925,-0.10255668583650618,-0.12330349789009083,-0.10770181461797862,-0.15684007101576014,-0.15261020916704773,-0.12107517504851678,-0.11713891157983226,-0.12630267412961357,-0.1233325910113218,0.0172718504530947,28
9,0.31432905197143557,0.017189512226680727,0.0039097309112548825,0.002503733800951891,0.8,0.05,8,100,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11961791205523997,-0.10968298107045153,-0.10374748940842705,-0.12566358597037805,-0.10783538129192113,-0.15690830120587246,-0.15320965871986492,-0.12171352613005246,-0.11577458349453702,-0.12888453118075072,-0.12430379505274954,0.017118375939479555,69
